time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,condenser_out__airflow,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7
2026-04-16 08:45:00,0.0000,40.0000,,,82.7273,0.0000,297.8172,24.7969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0679,22.8943,10.4268,7.8413,47.1268,22.2435,-1.1484,27.1477,0.0000,-181.5029,-0.3359,22.2528,74.9487,20.6175,-0.3359,48.3883,20.6596,47.4178,20.5419,47.1234,20.8935,20.4555,-0.0349,26.1323,0.0000,0.0000,28.7546,0.0652,73.9819,20.3656,-60.4086,2.6173,25.3620,102.3790,30.0000,32.0000,29.0286,102.6863,0.9335,0.4928,0.1298,0.0691,0.7690,0.2842,0.6173,0.5732,0.7660,0.2637,0.6720,0.2933,0.3163,0.2508,0.4381,0.3856,18.1457,-9999.0000,21.2424,20.8763,20.2184,28.9308,21.0307,20.8337
2026-04-16 08:46:00,0.0167,40.0000,0.0000,0.0000,82.7273,0.0000,297.5966,24.7969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0976,22.8474,10.6040,7.9357,47.9410,22.1555,-1.1398,27.1082,0.0000,-181.5094,-0.3359,22.2138,74.8649,20.6086,-0.3359,48.3993,20.6557,47.4351,20.5334,47.1686,20.8546,20.4531,-0.0369,26.0844,0.0000,0.0000,28.7552,0.0597,74.0021,20.3412,-60.1855,2.4531,25.2380,102.3778,30.0000,32.1000,28.7953,102.9577,0.9408,0.4933,0.1273,0.0685,0.7544,0.2959,0.6170,0.5714,0.7238,0.2622,0.6761,0.2936,0.3150,0.2503,0.4362,0.3851,17.5362,-9999.0000,21.2228,20.8942,20.2515,28.7448,20.9753,20.8486
2026-04-16 08:47:00,0.0333,42.5000,2.5000,1.2500,82.7263,0.1973,291.4370,24.3296,6.4220,1.9650,4.0000,4.6251,6.6651,6.6651,6.6651,5.9423,22.5700,11.2916,8.3484,50.8760,22.0111,8.4951,27.0692,20.0000,-181.5172,-0.3359,22.1888,74.5852,20.5805,-0.3359,48.4058,20.6441,47.4269,20.5153,47.1633,20.8210,20.4506,-0.0333,26.0521,7.9160,19.7055,28.7410,0.0035,73.9050,20.3111,-59.5117,2.6478,25.3394,102.3779,30.0000,31.8333,29.1953,239.6462,1.0227,0.5022,2.9402,1.2714,9.8733,4.1050,1.1590,0.6573,1.3549,0.3980,4.4291,1.8711,3.8526,1.7461,1.0537,0.8725,16.8705,-9999.0000,21.1237,20.8543,20.1841,29.5590,20.9827,20.8227
2026-04-16 08:48:00,0.0500,33.3929,-9.1071,-2.2024,82.7299,1.4148,282.3663,26.1434,100.0000,24.0301,24.0000,37.6764,85.0000,85.0000,85.0000,4.5498,19.4211,13.5041,9.6411,65.8152,20.1046,49.4009,32.5615,100.0000,-181.5774,-0.3359,22.3203,66.6426,20.2660,-0.3359,48.4014,20.6385,47.5064,20.4673,47.4111,20.5302,20.4652,-0.0354,26.0534,50.0000,69.9844,28.7563,-0.0068,72.2844,20.2807,-58.5879,2.4649,32.2815,102.3798,30.0000,31.8333,29.1953,683.9069,1.2885,0.5196,21.1859,13.8559,69.5189,44.0326,4.8789,1.4347,5.4311,1.5452,21.4522,10.4885,20.1699,9.9960,2.3993,2.1466,14.2853,-9999.0000,20.0909,20.2027,20.4380,39.3785,20.7791,21.2208
2026-04-16 08:49:00,0.0667,20.0000,-13.3929,-5.0000,82.7351,1.3899,282.1345,27.1812,100.0000,24.0250,24.0000,31.7660,85.0000,85.0000,85.0000,4.1620,19.3003,13.5304,9.6475,70.9962,18.9120,61.7531,50.3018,100.0000,-181.5544,-0.3359,22.5778,65.2842,20.1416,-0.3359,48.4076,20.6186,47.5944,20.4462,47.9723,20.2708,20.4245,-0.0375,26.1267,50.0000,69.9844,28.7529,0.0138,71.1788,20.2601,-58.4577,2.2516,39.1923,102.3812,30.0000,32.3333,29.3620,626.9708,1.2477,0.5174,21.0640,13.7886,66.8856,43.4472,6.1613,1.6867,6.5022,1.6669,21.2466,10.3819,20.0940,9.8967,2.3843,2.1321,13.3092,-9999.0000,19.7024,19.6989,20.3931,49.2605,20.5814,21.0257
2026-04-16 08:50:00,0.0833,17.8571,-2.1429,-4.4286,82.7360,1.3320,281.5059,27.8871,86.6667,22.2742,20.4000,29.7688,85.0000,85.0000,85.0000,3.8156,21.4555,14.0595,9.9954,67.9864,20.1648,52.8500,64.3107,100.0000,-181.5630,-0.3359,22.7698,64.6535,20.1242,-0.3359,48.4314,20.6029,47.4274,20.5264,48.0838,20.2782,20.4194,-0.0375,26.1997,50.0000,69.9844,28.7546,0.0344,70.4236,20.2417,-58.6165,2.1296,45.4896,102.3806,30.0000,32.5000,30.0286,661.5024,1.2983,0.5272,21.1097,13.7779,68.8590,43.6322,4.6954,1.3797,5.3737,1.5988,21.1511,10.3295,19.8093,9.8321,2.3878,2.1354,12.0816,-9999.0000,21.1347,19.4389,20.3529,58.1859,20.3787,20.8145
2026-04-16 08:51:00,0.1000,15.1786,-2.6786,-4.1369,82.7370,0.8637,284.2824,27.8507,53.3333,-13.7513,-15.6000,17.3505,85.0000,85.0000,85.0000,4.0698,24.3771,14.4272,10.2350,61.6983,22.1381,40.1013,75.5796,100.0000,-181.5401,-0.3359,22.8477,64.2305,20.0986,-0.3359,48.4354,20.6020,47.2000,20.6355,48.0884,20.2914,20.3881,-0.0343,26.2615,50.0000,69.9844,28.7326,-0.0582,69.8441,20.2203,-58.6268,1.6928,50.1564,102.3805,30.0000,32.5000,30.1953,718.6541,1.2070,0.5216,21.0540,13.7825,66.8494,43.2814,5.5242,1.5333,6.2871,1.7224,20.9967,10.3117,19.8768,9.8202,2.3882,2.1458,11.7635,-9999.0000,22.9631,19.3715,20.3460,63.6775,20.2557,20.6284
2026-04-16 08:52:00,0.1167,20.0000,4.8214,-2.8571,82.7351,1.3784,282.2246,28.6721,98.3333,-24.0328,-24.0000,28.6520,85.0000,85.0000,85.0000,3.7852,26.3121,15.0448,10.6563,54.8432,24.7655,31.5540,86.9562,100.0000,-181.5430,-0.3359,22.9995,63.8426,20.1225,-0.3359,48.4207,20.5912,46.8727,20.8039,47.9713,20.3262,20.3667,-0.0354,26.3064,50.0000,69.9844,28.7495,0.0652,69.3453,20.1993,-58.3763,1.9874,53.1724,102.3816,30.0000,32.5000,30.1953,738.2103,1.3346,0.5352,21.0020,13.7925,68.2972,43.6768,5.4895,1.3793,5.5091,1.4475,21.1279,10.3110,19.8756,9.8237,2.4030,2.1472,11.1102,-9999.0000,26.1328,19.3144,20.4378,66.1686,20.1103,20.4758
2026-04-16 08:53:00,0.1333,20.1786,0.1786,-2.4777,82.7351,1.3796,284.7709,29.3003,100.0000,-24.0344,-24.0000,29.1448,85.0000,85.0000,85.0000,3.7242,27.8698,15.4267,10.9263,49.8370,26.7884,29.0716,96.8763,100.0000,-181.5401,-0.3359,23.1497,63.5624,20.1027,-0.3359,48.4247,20.5819,46.4454,20.9578,48.0127,20.2712,20.3522,-0.0359,26.3576,50.0000,69.9844,28.7563,0.0858,68.9264,20.1803,-58.5634,2.2516,55.2921,102.3842,30.0000,32.5000,30.1953,737.2049,1.3141,0.5378,21.0045,13.7650,67.6205,43.4566,5.9063,1.5266,6.1324,1.5583,21.0036,10.2890,19.8799,9.8068,2.3772,2.1364,11.0091,-9999.0000,27.8148,19.2406,20.4605,68.2094,19.9375,20.4069
2026-04-16 08:54:00,0.1500,17.1429,-3.0357,-2.5397,82.7362,0.8105,289.2465,29.5130,42.5000,-8.6370,-4.8000,16.8261,85.0000,85.0000,85.0000,3.9884,30.2836,15.7019,11.1243,47.5009,27.8907,28.0341,106.0365,100.0000,-181.5288,-0.3256,23.2258,63.3504,20.0798,-0.3359,48.4253,20.5837,45.9859,21.1191,47.9788,20.2709,20.3570,-0.0333,26.4128,50.0000,69.9844,28.7393,0.0241,68.5629,20.1631,-58.7855,2.1094,56.8086,102.3846,30.0000,32.5000,30.5286,737.7782,1.2868,0.5399,21.0794,13.7873,66.7670,43.2095,6.1298,1.6715,6.6989,1.8107,20.9413,10.2996,19.9175,9.8158,2.3675,2.1332,11.0226,-9999.0000,28.7326,19.2553,20.5582,69.4880,19.9255,20.3679
