time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,estimated_airflow_cfm,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,condenser_out__airflow,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7,motor_kwh,oil_kwh,cooling_kwh,blower_kwh,air_kwh,total_kwh_per_kg
2026-04-21 08:11:00,0.0000,0.0000,,,81.8182,0.0000,0.0000,288.4317,23.5057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.5973,38.7777,10.5148,7.8878,49.0189,21.6935,14.5335,69.8143,0.0000,-178.0211,1.0889,20.3731,91.4978,20.7125,1.7454,51.9697,20.9481,55.6763,20.8674,55.0104,21.0675,22.9925,-0.0334,26.6585,0.0000,0.0000,29.5596,3.3527,75.2758,20.5202,-114.8552,14.5000,36.5927,101.1761,31.0000,35.5000,29.9453,55.9496,0.9606,0.5036,0.1273,0.0669,0.7600,0.2808,0.6450,0.6015,0.8568,0.3049,0.6286,0.2753,0.2290,0.1699,0.4540,0.4038,-6666.0000,-9999.0000,20.6460,21.0872,20.5875,20.8388,21.3399,21.2911,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:12:00,0.0167,17.3214,17.3214,17.3214,81.8110,0.0000,1.1875,284.7740,25.3189,78.3333,18.7279,20.4000,33.6818,66.1648,66.1648,66.1648,5.0998,17.7095,12.0153,8.7352,63.4863,19.2968,25.5405,32.6117,,,,,82.4596,20.5587,,52.0468,20.9682,,,,,,,,63.1169,52.6141,28.7563,0.0035,74.4937,20.5643,-114.1221,2.1396,22.4589,101.7494,30.1667,,29.8620,681.1843,1.2633,0.5204,17.8538,11.0461,58.3082,35.0371,4.3345,1.2962,4.5833,1.3363,19.0675,10.8052,17.8420,10.3226,2.0545,1.7337,-1066.6436,-9999.0000,18.7329,20.9300,20.5267,23.0888,21.4101,21.6591,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:13:00,0.0333,12.6786,-4.6429,6.3393,81.8129,,1.3847,281.0678,26.8302,100.0000,24.0305,24.0000,31.4013,85.0000,85.0000,85.0000,4.6926,17.6837,13.4758,9.6358,79.0408,17.1607,37.3641,48.6958,100.0000,-181.3864,-0.3359,23.4285,77.1803,20.5526,-0.3359,52.0755,20.9854,56.7557,20.4603,55.8131,20.8594,20.5132,-0.0312,27.2608,74.9922,50.0469,28.7495,0.0344,73.7762,20.6164,-105.0294,1.8246,30.4370,101.7505,30.1667,34.5000,30.1953,727.8098,1.3104,0.5316,21.0513,13.7622,69.3375,43.7797,4.7541,1.3878,4.9231,1.4222,21.1317,12.5377,19.7925,12.0259,1.8756,1.6355,23.1362,-9999.0000,18.2947,20.6789,20.4775,42.6658,21.3137,21.7268,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:14:00,0.0500,10.1786,-2.5000,3.3929,81.8140,214.2695,1.3700,280.9824,27.7005,95.0000,24.0293,24.0000,27.2347,85.0000,85.0000,85.0000,4.6309,22.7639,15.9950,11.3398,76.4842,20.2955,31.6358,63.6934,100.0000,-181.4262,-0.3256,23.5842,75.2760,20.6753,-0.3359,52.1014,21.0021,56.5191,20.6621,55.7668,20.9504,20.5324,-0.0312,27.2744,74.9922,50.0469,28.7427,0.0961,73.3398,20.6753,-98.5590,1.7031,44.3771,101.7501,30.0000,34.0000,30.1953,740.4056,1.2302,0.5266,21.0850,13.7490,67.6795,43.2983,5.7846,1.6349,6.1522,1.7223,20.8920,12.4359,19.7278,11.9223,1.8884,1.6442,4.8863,-9999.0000,21.5720,20.5791,20.6153,66.4949,21.1848,21.3671,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:15:00,0.0667,7.8571,-2.3214,1.9643,81.8149,117.7033,0.8024,282.5246,27.8844,30.8333,-1.3419,-4.8000,14.4202,85.0000,85.0000,85.0000,5.1517,27.4151,17.7308,12.7013,65.3623,24.7029,29.2038,74.9905,100.0000,-181.4453,-0.3153,23.7901,73.8538,20.8113,-0.3359,52.1414,21.0179,55.7432,21.0406,55.3898,21.1148,20.5828,-0.0312,27.3210,74.9922,50.0469,28.7393,0.0549,73.0053,20.7490,-93.5842,1.8452,56.9667,101.7449,30.1667,33.5000,30.6953,740.9062,1.3035,0.5333,20.9413,13.7309,66.8618,43.1040,5.7788,1.5447,5.9437,1.6300,20.6443,12.3291,19.5759,11.8245,1.8839,1.6431,5.1895,-9999.0000,25.2708,20.6474,20.8150,83.1941,21.0932,21.1620,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:16:00,0.0833,20.7143,12.8571,4.1429,81.8096,87.5062,1.3631,280.5761,28.6572,68.3333,-24.0344,-24.0000,23.7992,85.0000,85.0000,85.0000,4.7538,28.4115,16.9563,12.0665,53.6164,27.1905,22.5905,85.4990,100.0000,-181.4371,-0.3359,24.0026,72.6106,20.9582,-0.3359,52.1735,21.0481,54.9169,21.3470,54.9957,21.2677,20.6120,-0.0312,27.3815,74.9922,50.0469,28.7461,0.0035,72.7465,20.8152,-89.6790,1.7844,66.5042,101.7478,31.0000,33.5000,31.1953,741.2158,1.2987,0.5354,21.0281,13.7380,67.4848,43.3076,5.8089,1.5765,6.3344,1.6790,20.4875,12.2630,19.2658,11.7588,1.9032,1.6520,17.7106,-9999.0000,27.6090,20.6499,20.9276,93.9500,21.1011,21.0588,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:17:00,0.1000,20.0000,-0.7143,3.3333,81.8099,73.4017,1.3646,280.6319,29.4119,86.6667,-24.0340,-24.0000,24.3823,85.0000,85.0000,85.0000,4.7741,32.5251,17.5837,12.5671,48.6455,29.5640,22.1729,96.0268,100.0000,-181.4398,-0.3359,24.1959,71.5705,21.0521,-0.3359,52.1914,21.0742,54.2653,21.5663,54.6870,21.3665,20.6569,-0.0328,27.4306,74.9922,50.0469,28.7478,0.0755,72.5217,20.8871,-86.4194,1.7943,73.6630,101.7457,31.0000,33.5000,31.1953,741.2460,1.3852,0.5430,21.0893,13.7424,68.5983,43.5254,5.0411,1.4069,5.9279,1.6096,20.3293,12.2360,19.0106,11.7330,1.8862,1.6507,-1534.4833,-9999.0000,30.9548,20.6201,21.0392,101.4824,21.0537,21.0012,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:18:00,0.1167,15.3571,-4.6429,2.1939,81.8118,44.7871,1.0334,282.7631,29.9198,30.0000,-17.4186,-15.6000,17.6590,85.0000,85.0000,85.0000,4.5599,33.1365,18.5907,13.4059,43.9390,32.4316,20.1691,106.5853,100.0000,-181.4316,-0.3359,24.4140,70.6924,21.1430,-0.3359,52.2085,21.1037,53.5723,21.7780,54.5358,21.4344,20.7039,-0.0328,27.4837,61.0800,50.0469,28.7444,-0.0068,72.3245,20.9586,-84.3133,1.8348,79.0128,101.7462,31.0000,33.6667,31.1953,741.3853,1.3923,0.5460,21.0152,13.7500,66.9656,43.2323,5.4395,1.4731,6.0350,1.6147,17.4637,10.2955,16.2283,9.8374,1.8733,1.6450,-3443.2467,-9999.0000,33.4191,20.6433,21.1827,106.6575,21.0540,20.9881,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:19:00,0.1333,13.0357,-2.3214,1.6295,81.8128,0.0021,1.1285,284.2428,29.8937,41.6667,18.6119,20.4000,19.0669,85.0000,85.0000,85.0000,4.1417,38.1730,19.3930,14.1098,40.2103,34.9925,18.8665,116.2711,100.0000,-181.4125,-0.3256,24.6110,69.8912,21.2565,-0.3359,52.2186,21.1362,52.7829,22.0327,54.2109,21.4926,20.7578,-0.0333,27.5673,0.1040,50.0469,28.7461,0.0138,72.1456,21.0311,-82.5087,2.4852,81.4995,101.7520,31.0000,33.8333,31.1953,741.5473,1.3491,0.5518,21.1291,13.8140,67.5120,43.4811,5.6334,1.5212,6.1220,1.6369,1.4289,0.5009,0.5587,0.2843,1.8833,1.6348,-440.7182,-9999.0000,36.3309,20.8089,21.3986,105.6410,21.0768,20.9737,0.0385,2.3267,0.1108,0.1100,0.5497,
2026-04-21 08:20:00,0.1500,20.0000,6.9643,2.2222,81.8099,55.9521,1.3561,281.7792,30.7318,24.1667,24.0281,24.0000,21.6619,85.0000,85.0000,85.0000,3.8362,34.7758,18.9172,13.6820,39.6220,34.7161,29.0716,125.6783,100.0000,-181.4043,-0.3359,24.7698,69.1387,21.3439,-0.3359,52.2361,21.1732,52.1027,22.2040,53.7600,21.6065,20.7908,-0.0312,27.6303,65.1357,50.0469,28.7495,-0.0376,72.0053,21.1017,-81.0194,2.0788,75.9359,101.7462,31.0000,34.5000,31.1953,740.6896,1.2918,0.5559,21.0771,13.7526,67.1487,43.2723,5.9562,1.6533,6.6929,1.8267,20.8154,11.2896,19.6361,10.8178,1.8577,1.6096,-766.6729,-9999.0000,33.9963,20.8296,21.4597,91.3767,21.1464,21.0127,0.0385,2.3267,0.1108,0.1100,0.5497,
